name, created_at, deposit_signature, withdraw_signature, proxy_contract, stake_token
bzx_dai, 10785055, 0x40c10f19, 0x9dc29fac, 0x6b093998d36f2c7f0cc359441fbb24cc629d5ff0, 0x6b093998D36f2C7F0cc359441FBB24CC629D5FF0
visor, 13148651, 0x2e2d2984, 0xb460af94, 0xC9f27A50f82571C1C8423A42970613b8dBDA14ef, 0x3a84aD5d16aDBE566BAA6b3DafE39Db3D5E261E5
umbrella, 14385979, 0xa694fc3a, 0x2e1a7d4d, 0xB3FB1D01B07A706736Ca175f827e4F56021b85dE, 
akropolis, 10644381, 0x562fa0df;0xb11092c2, 0x7bfe950c;0xcc6dbc27, 0x73fc3038b4cd8ffd07482b92a52ea806505e5748, 0x2AFA3c8Bf33E65d5036cD0f1c3599716894B3077
ousd, 10884566, 0x40c10f19;0x07ea5477, 0xdb006a75;0x2f4350c2, 0x277e80f3e14e7fb3fc40a9d6184088e0241034bd, 0x2A8e1E676Ec238d8A992307B495b45B3fEAa5e86
harvest_finance, 11086842, None, None, 0xf0358e8c3CD5Fa238a29301d0bEa3D63A17bEdBE;0xf8ce90c2710713552fb564869694b2505bfc0846, 0xf0358e8c3CD5Fa238a29301d0bEa3D63A17bEdBE
rari, 11093437, None, None, 0xD6e194aF3d9674b62D1b30Ec676030C23961275e, 0xCda4770d65B4211364Cb870aD6bE19E7Ef1D65f4
punk_dai, 12944786, None, None, 0x929cb86046E421abF7e1e02dE7836742654D49d6,
popsicle_usdt_weth, 12705397, None, None, 0xc4ff55a4329f84f9Bf0F5619998aB570481EBB48, 0xc4ff55a4329f84f9Bf0F5619998aB570481EBB48
bacon, 12916875, None, None, 0xb8919522331c59f5c16bdfaa6a121a6e03a91f62;0xf4e4c445a64d1f3eb7192ef78b956aca78f893e5, 0xb8919522331c59f5c16bdfaa6a121a6e03a91f62
xtoken, 10971007, 0xa0712d68;0xf0070333, 0x42966c68;0x5a18664c, 0x2367012ab9c3da91290f71590d5ce217721eefe4, 0x2367012ab9c3da91290f71590d5ce217721eefe4
revest, 13290580, None, None, 0xA81bd16Aa6F6B25e66965A2f842e9C806c0AA11F;0x2320A28f52334d62622cc2EaFa15DE55F9987eD9, 
yearn_finance_dai, 10650116, None, None, 0xACd43E627e64355f1861cEC6d3a6688B31a6F952, 0xACd43E627e64355f1861cEC6d3a6688B31a6F952
bt_finance_eth, 11371423, None, None, 0xded1219B5Ba4DA3A9d57c9F12C0d5Da50F2fC4A2, 0xded1219B5Ba4DA3A9d57c9F12C0d5Da50F2fC4A2
warp_finance, 11462186, 0x57d32b7a, 0xdb006a75, 0x6046c3ab74e6ce761d218b9117d5c63200f4b406, 0x7079bb3222e8Ec25056D62EAf494420BBc965f7e
dydx_injection, 13583442, None, None, 0x53773fE5ff4451c896127Dd2c91b8dE7ac51Ba2C, 
indexed_finance, 11398665, None, None, 0xfa6de2697D59E88Ed7Fc4dFE5A33daC43565ea41, 0xfa6de2697D59E88Ed7Fc4dFE5A33daC43565ea41
li_finance, 13984588, None, None, 0x5A9Fd7c39a6C488E715437D7b1f3C823d5596eD1,
nowswap, 11979203, None, None, 0x9536A78440f72f5E9612949F1848fe5E9D4934CC,
array_finance, 126475470, None, None, 0xA800cDa5f3416A6Fb64eF93D84D6298a685D190d, 0xA800cDa5f3416A6Fb64eF93D84D6298a685D190d
force_dao, 11719589, None, None, 0xe7f445b93eb9cdabfe76541cc43ff8de930a58e6,0xe7f445b93eb9cdabfe76541cc43ff8de930a58e6
dodo, 11932747, None, None, 0x051EBD717311350f1684f89335bed4ABd083a2b6,
cheese_bank, 10944665, None, None, 0x5E181bDde2fA8af7265CB3124735E9a13779c021,
opyn, 10563480, None, None, 0x951D51bAeFb72319d9FBE941E1615938d89ABfe2,
balancer, 10160718, None, None, 0x0e511Aa1a137AaD267dfe3a6bFCa0b856C1a3682, 0x0e511Aa1a137AaD267dfe3a6bFCa0b856C1a3682
snood, 12905889, None, None, 0x0F6b0960d2569f505126341085ED7f0342b67DAe,
gelato_network, 13133186, None, None, 0x14E6D67F824C3a7b4329d3228807f8654294e4bd,
value_defi, 11222844, 0x341cd53a;0xdd786834;0x47f6512b, 0x23deedcf;0x84570634;0x09fd9fc3;0x903832f9, 0x8764f2c305b79680cfcc3398a96aedea9260f7ff;0x55BF8304C78Ba6fe47fd251F37d7beb485f86d26, 0x55BF8304C78Ba6fe47fd251F37d7beb485f86d26
qubit, 13707696, None, None, 0x20e5e35ba29dc3b540a1aee781d0814d5c77bce6,
meter_io, 13044618, None, None, 0xa2A22B46B8df38cd7C55E6bf32Ea5a32637Cf2b1,