symbol, tokenAddress, rate, decimals
dai, 0x6b175474e89094c44da98b954eedeac495271d0f, 1, 18
usdt, 0xdac17f958d2ee523a2206206994597c13d831ec7, 1, 6
usdc, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 1, 6
susd, 0x57Ab1ec28D129707052df4dF418D58a2D46d5f51, 1, 18
ousd, 0x2A8e1E676Ec238d8A992307B495b45B3fEAa5e86, 1, 18
trueusd, 0x0000000000085d4780B73119b644AE5ecd22b376, 1, 18
binanceusd, 0x4Fabb145d64652a948d72533023f6E7A623C7C53, 1, 18
curve_fi_DAI_USDC_USDT,0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490, 1, 18
gusd, 0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd, 1, 2
frax, 0x853d955aCEf822Db058eb8505911ED77F175b99e, 1, 18
dforce, 0xeb269732ab75A6fD61Ea60b06fE994cD32a83549, 1, 18
pax, 0x8E870D67F660D95d5be530380D0eC0bd388289E1, 1, 18
adai, 0xfC1E690f61EFd961294b3e1Ce3313fBD8aa4f85d, 1, 18
dola, 0x865377367054516e17014CcdED1e7d814EDC9ce4, 1, 18